totalTasks,completedTasks,inProgressTasks,todoTasks,daysRemaining,highPriorityTasks,mediumPriorityTasks,lowPriorityTasks,risk
15,6,6,3,5,2,2,5,MEDIUM
23,12,11,0,5,10,1,0,MEDIUM
24,20,4,0,10,4,0,0,LOW
22,7,9,6,5,0,9,6,HIGH
19,3,6,10,1,4,12,0,HIGH
16,9,6,1,2,7,0,0,MEDIUM
23,10,3,10,8,5,2,6,MEDIUM
5,4,1,0,8,0,1,0,LOW
29,24,3,2,11,2,3,0,LOW
30,23,1,6,8,7,0,0,LOW
28,27,1,0,12,1,0,0,LOW
7,6,0,1,5,1,0,0,LOW
24,17,4,3,2,6,1,0,MEDIUM
27,6,17,4,1,12,3,6,HIGH
30,3,11,16,3,9,4,14,HIGH
7,7,0,0,8,1,0,0,LOW
23,2,6,15,3,1,1,19,HIGH
17,1,1,15,5,13,1,2,HIGH
19,17,1,1,12,2,0,0,LOW
5,2,3,0,6,0,1,2,MEDIUM
11,4,0,7,3,5,1,1,MEDIUM
7,5,1,1,9,2,0,0,LOW
14,6,3,5,5,6,1,1,HIGH
24,13,4,7,3,8,2,1,MEDIUM
18,9,8,1,5,2,6,1,HIGH
18,8,4,6,4,5,2,3,HIGH
14,7,6,1,7,2,5,0,MEDIUM
28,13,2,13,6,1,2,12,MEDIUM
16,8,6,2,2,6,1,1,HIGH
26,8,2,16,1,6,12,0,HIGH
5,3,2,0,5,1,0,1,MEDIUM
30,9,13,8,4,4,9,8,HIGH
22,9,1,12,2,7,0,6,HIGH
9,5,1,3,6,2,2,0,MEDIUM
18,15,0,3,12,3,0,0,LOW
28,21,3,4,5,3,1,3,LOW
17,16,1,0,4,1,0,0,LOW
18,11,7,0,5,1,0,6,MEDIUM
18,10,7,1,6,0,2,6,MEDIUM
30,21,4,5,2,2,2,5,MEDIUM
10,7,3,0,6,0,1,2,MEDIUM
5,0,0,5,3,3,2,0,HIGH
6,4,2,0,6,1,0,1,LOW
28,17,9,2,2,11,0,0,MEDIUM
23,9,1,13,6,4,7,3,MEDIUM
16,10,3,3,6,3,2,1,MEDIUM
23,17,2,4,6,5,0,1,MEDIUM
16,12,0,4,8,4,0,0,LOW
14,3,10,1,2,11,0,0,HIGH
26,20,1,5,7,0,0,6,LOW
22,18,3,1,6,3,1,0,LOW
12,9,1,2,8,0,1,2,MEDIUM
15,4,9,2,2,7,2,2,HIGH
16,12,2,2,6,0,2,2,MEDIUM
22,20,1,1,8,0,1,1,LOW
15,3,3,9,1,3,1,8,HIGH
12,8,1,3,5,0,3,1,LOW
29,15,6,8,6,2,3,9,MEDIUM
22,14,4,4,4,2,2,4,MEDIUM
7,3,1,3,5,2,0,2,HIGH
9,6,2,1,4,3,0,0,LOW
23,4,17,2,4,10,6,3,HIGH
12,1,6,5,3,2,2,7,HIGH
16,5,5,6,1,0,10,1,HIGH
21,9,10,2,4,7,4,1,MEDIUM
19,9,10,0,5,8,2,0,MEDIUM
29,17,3,9,7,12,0,0,MEDIUM
18,16,1,1,13,0,0,2,LOW
29,6,3,20,4,0,3,20,HIGH
29,12,11,6,2,10,6,1,HIGH
7,5,2,0,8,2,0,0,LOW
6,5,0,1,8,0,0,1,LOW
12,9,2,1,4,1,2,0,MEDIUM
28,12,9,7,2,1,14,1,HIGH
12,10,1,1,13,2,0,0,LOW
25,23,0,2,11,0,2,0,LOW
20,5,1,14,3,15,0,0,HIGH
17,12,5,0,2,3,1,1,MEDIUM
18,5,2,11,1,11,1,1,HIGH
10,5,5,0,5,0,4,1,HIGH
12,12,0,0,13,1,0,0,LOW
29,9,3,17,2,5,14,1,HIGH
27,20,0,7,4,5,0,2,LOW
18,16,2,0,8,1,0,1,LOW
28,5,0,23,3,16,6,1,HIGH
26,23,3,0,8,2,0,1,LOW
16,13,2,1,14,2,0,1,LOW
25,18,1,6,11,4,1,2,LOW
10,6,4,0,2,2,0,2,MEDIUM
12,9,2,1,11,2,0,1,LOW
23,22,0,1,9,1,0,0,LOW
11,6,2,3,3,0,5,0,MEDIUM
19,18,0,1,11,0,0,1,LOW
8,6,2,0,11,2,0,0,LOW
26,8,4,14,5,11,0,7,HIGH
19,15,2,2,13,2,0,2,LOW
6,4,0,2,6,2,0,0,MEDIUM
22,10,9,3,2,8,1,3,HIGH
12,8,0,4,14,1,0,3,LOW
25,17,3,5,8,3,1,4,LOW
19,4,11,4,1,6,7,2,HIGH
27,5,21,1,2,12,7,3,HIGH
25,15,8,2,4,0,1,9,MEDIUM
9,6,1,2,8,1,1,1,MEDIUM
27,13,7,7,3,7,5,2,HIGH
14,10,1,3,8,2,1,1,MEDIUM
26,24,2,0,8,1,0,1,LOW
6,2,1,3,2,0,2,2,HIGH
28,23,2,3,14,4,1,0,LOW
29,27,2,0,13,2,0,0,LOW
30,21,0,9,8,9,0,0,MEDIUM
22,10,1,11,3,10,0,2,MEDIUM
16,12,4,0,6,3,0,1,LOW
27,8,16,3,1,14,0,5,HIGH
15,9,0,6,3,0,5,1,MEDIUM
22,16,2,4,6,6,0,0,LOW
6,3,3,0,8,1,2,0,MEDIUM
12,9,0,3,3,2,0,1,MEDIUM
18,3,9,6,2,5,4,6,HIGH
6,2,3,1,4,4,0,0,MEDIUM
24,13,5,6,7,1,6,4,MEDIUM
17,13,1,3,4,0,2,2,MEDIUM
24,7,9,8,3,9,4,4,HIGH
29,6,20,3,1,9,5,9,HIGH
19,18,0,1,7,1,0,0,LOW
21,15,0,6,9,1,2,3,LOW
12,4,2,6,3,0,6,2,HIGH
14,10,4,0,4,4,0,0,LOW
13,10,0,3,12,1,0,2,LOW
30,21,1,8,4,8,0,1,MEDIUM
20,17,1,2,13,3,0,0,LOW
25,15,5,5,6,0,5,5,MEDIUM
30,12,0,18,1,1,7,10,HIGH
14,4,5,5,1,4,1,5,HIGH
24,9,7,8,4,10,2,3,HIGH
6,2,3,1,4,0,1,3,MEDIUM
28,15,13,0,3,8,2,3,MEDIUM
10,5,0,5,3,1,4,0,HIGH
10,6,3,1,7,3,1,0,MEDIUM
6,3,3,0,5,1,1,1,MEDIUM
28,9,19,0,5,6,7,6,HIGH
22,6,13,3,4,15,1,0,HIGH
12,8,3,1,7,2,1,1,LOW
9,6,0,3,3,2,1,0,MEDIUM
29,8,7,14,2,21,0,0,HIGH
19,11,7,1,8,3,4,1,MEDIUM
7,0,7,0,3,5,1,1,HIGH
20,15,3,2,5,2,3,0,MEDIUM
24,5,18,1,4,3,11,5,HIGH
12,12,0,0,13,1,0,0,LOW
27,20,5,2,14,7,0,0,LOW
14,6,7,1,2,0,8,0,HIGH
29,11,16,2,1,11,0,7,HIGH
12,9,2,1,9,2,0,1,LOW
28,18,2,8,8,8,0,2,MEDIUM
11,8,3,0,6,0,2,1,MEDIUM
28,10,14,4,2,2,10,6,MEDIUM
20,11,1,8,2,0,4,5,MEDIUM
14,6,5,3,2,2,6,0,MEDIUM
22,8,4,10,3,12,1,1,HIGH
19,4,4,11,2,13,2,0,HIGH
26,6,2,18,2,3,4,13,HIGH
7,2,4,1,1,5,0,0,HIGH
5,5,0,0,11,1,0,0,LOW
24,12,0,12,4,11,1,0,MEDIUM
19,17,1,1,11,0,0,2,LOW
10,6,4,0,7,2,2,0,MEDIUM
30,20,8,2,11,1,6,3,LOW
23,2,11,10,5,17,0,4,HIGH
29,19,2,8,5,10,0,0,LOW
25,24,1,0,5,1,0,0,LOW
5,1,0,4,4,0,4,0,HIGH
26,24,2,0,8,0,0,2,LOW
9,3,2,4,6,6,0,0,MEDIUM
11,7,2,2,6,1,2,1,MEDIUM
25,9,15,1,5,15,0,1,HIGH
29,13,6,10,5,9,7,0,MEDIUM
28,15,9,4,5,13,0,0,MEDIUM
12,9,1,2,13,0,0,3,LOW
18,10,5,3,3,2,2,4,MEDIUM
16,14,2,0,12,0,2,0,LOW
9,1,6,2,2,3,3,2,HIGH
25,15,5,5,7,6,4,0,MEDIUM
25,12,4,9,2,5,3,5,HIGH
8,4,3,1,2,3,0,1,HIGH
25,24,0,1,4,0,0,1,LOW
5,2,3,0,3,3,0,0,HIGH
7,4,3,0,6,3,0,0,MEDIUM
19,2,14,3,4,1,14,2,HIGH
28,15,5,8,5,10,1,2,MEDIUM
16,5,2,9,3,5,1,5,HIGH
22,14,1,7,3,3,1,4,MEDIUM
27,2,2,23,1,15,0,10,HIGH
19,13,2,4,8,0,6,0,LOW
13,10,0,3,7,1,1,1,LOW
27,15,8,4,8,4,1,7,MEDIUM
5,2,2,1,2,0,2,1,HIGH
30,6,23,1,2,17,7,0,HIGH
15,13,2,0,11,0,2,0,LOW
26,22,4,0,11,3,0,1,LOW
22,17,0,5,9,4,1,0,LOW
14,11,0,3,11,2,0,1,LOW
24,21,0,3,14,2,1,0,LOW
25,2,15,8,2,12,1,10,HIGH
18,12,6,0,9,3,1,2,LOW
13,9,4,0,5,1,2,1,LOW
10,5,4,1,5,0,2,3,MEDIUM
30,19,10,1,8,10,0,1,MEDIUM
22,16,3,3,13,4,1,1,LOW
13,8,0,5,4,2,1,2,MEDIUM
9,4,4,1,3,1,0,4,MEDIUM
21,11,8,2,8,7,2,1,MEDIUM
16,2,14,0,1,9,5,0,HIGH
6,5,0,1,6,1,0,0,LOW
23,8,14,1,3,11,2,2,MEDIUM
11,5,2,4,5,4,1,1,HIGH
25,17,2,6,8,8,0,0,MEDIUM
12,9,1,2,6,0,3,0,LOW
24,22,2,0,13,0,1,1,LOW
15,9,3,3,5,5,1,0,MEDIUM
5,2,2,1,6,3,0,0,MEDIUM
22,10,1,11,2,5,4,3,MEDIUM
18,14,1,3,6,2,0,2,LOW
14,11,3,0,12,1,0,2,LOW
25,12,0,13,3,10,0,3,MEDIUM
6,2,1,3,4,2,0,2,HIGH
20,3,12,5,5,13,1,3,HIGH
25,20,1,4,8,1,4,0,LOW
21,14,1,6,6,1,5,1,LOW
6,3,3,0,1,2,1,0,HIGH
10,4,0,6,5,5,1,0,HIGH
22,16,5,1,14,4,1,1,LOW
16,2,3,11,5,9,4,1,HIGH
21,9,1,11,4,12,0,0,HIGH
15,6,4,5,6,9,0,0,MEDIUM
29,9,6,14,5,15,1,4,HIGH
29,18,7,4,7,10,0,1,MEDIUM
26,12,10,4,3,14,0,0,MEDIUM
15,12,2,1,5,2,0,1,LOW
13,1,11,1,5,2,10,0,HIGH
24,13,0,11,3,7,0,4,MEDIUM
18,16,2,0,13,1,1,0,LOW
18,9,6,3,7,0,4,5,MEDIUM
26,21,3,2,10,3,2,0,LOW
29,19,8,2,8,2,4,4,LOW
17,9,2,6,4,5,2,1,MEDIUM
28,3,0,25,5,1,0,24,HIGH
7,5,1,1,14,0,2,0,LOW
10,3,2,5,5,2,3,2,HIGH
24,15,2,7,2,1,6,2,MEDIUM
9,8,1,0,7,1,0,0,LOW
10,3,6,1,3,7,0,0,HIGH
16,2,2,12,1,3,8,3,HIGH
23,2,10,11,2,3,7,11,HIGH
13,9,3,1,5,0,3,1,LOW
19,12,2,5,6,5,1,1,MEDIUM
29,23,5,1,9,3,3,0,LOW
10,6,4,0,7,3,0,1,MEDIUM
18,17,0,1,11,1,0,0,LOW
30,22,1,7,9,7,0,1,LOW
18,14,0,4,14,1,2,1,LOW
7,1,0,6,1,6,0,0,HIGH
29,14,3,12,6,10,1,4,MEDIUM
23,9,6,8,3,4,6,4,HIGH
21,15,6,0,2,0,4,2,MEDIUM
13,10,3,0,7,2,1,0,LOW
23,14,4,5,4,7,2,0,MEDIUM
13,9,0,4,10,4,0,0,LOW
28,9,19,0,5,10,3,6,HIGH
18,8,4,6,3,1,9,0,HIGH
15,10,1,4,9,3,0,2,LOW
15,11,2,2,2,3,0,1,MEDIUM
26,11,12,3,1,8,0,7,HIGH
8,1,6,1,1,5,2,0,HIGH
11,7,0,4,6,0,2,2,MEDIUM
9,4,2,3,3,5,0,0,MEDIUM
23,11,4,8,2,7,4,1,MEDIUM
24,15,8,1,5,4,5,0,MEDIUM
21,5,2,14,3,3,0,13,HIGH
7,6,1,0,14,0,0,1,LOW
14,6,8,0,7,6,1,1,MEDIUM
30,24,1,5,10,0,0,6,LOW
29,21,4,4,7,1,2,5,LOW
29,12,3,14,6,16,0,1,MEDIUM
30,12,14,4,7,1,9,8,MEDIUM
7,2,0,5,3,2,1,2,HIGH
21,17,0,4,4,3,1,0,LOW
7,6,0,1,14,0,1,0,LOW
21,14,7,0,6,4,3,0,MEDIUM
18,7,11,0,4,5,6,0,MEDIUM
19,14,5,0,6,1,2,2,MEDIUM
11,5,5,1,5,2,4,0,HIGH
21,12,8,1,8,8,0,1,MEDIUM
29,26,3,0,11,2,0,1,LOW
16,11,3,2,5,2,0,3,MEDIUM
27,12,5,10,4,2,9,4,HIGH
13,6,2,5,2,3,1,3,HIGH
6,5,0,1,14,0,1,0,LOW
16,1,1,14,2,8,6,1,HIGH
25,12,12,1,2,5,6,2,MEDIUM
25,23,2,0,8,1,0,1,LOW
17,8,0,9,5,9,0,0,MEDIUM
19,13,5,1,8,3,2,1,LOW
27,2,4,21,3,12,11,2,HIGH
9,3,5,1,3,3,3,0,HIGH
21,17,0,4,11,4,0,0,LOW
12,5,7,0,4,3,4,0,HIGH
6,3,3,0,5,1,0,2,MEDIUM
26,13,8,5,2,8,2,3,MEDIUM
17,4,9,4,2,6,6,1,HIGH
19,17,1,1,5,0,1,1,LOW
25,2,23,0,2,7,16,0,HIGH
18,14,0,4,13,4,0,0,LOW
13,12,0,1,14,1,0,0,LOW
10,7,0,3,2,2,1,0,MEDIUM
26,6,1,19,4,11,6,3,HIGH
20,13,4,3,9,6,1,0,LOW
27,14,12,1,2,10,2,1,MEDIUM
12,6,6,0,8,3,1,2,MEDIUM
7,3,4,0,5,4,0,0,MEDIUM
26,6,8,12,2,9,4,7,HIGH
22,20,2,0,11,2,0,0,LOW
7,6,1,0,9,1,0,0,LOW
23,15,6,2,3,1,7,0,MEDIUM
11,4,1,6,8,7,0,0,MEDIUM
17,10,5,2,3,1,3,3,MEDIUM
14,1,11,2,3,2,8,3,HIGH
7,2,4,1,4,3,0,2,HIGH
20,2,13,5,2,8,6,4,HIGH
16,3,12,1,4,3,8,2,HIGH
21,10,2,9,1,6,0,5,HIGH
10,7,3,0,2,3,0,0,MEDIUM
18,18,0,0,12,1,0,0,LOW
14,4,9,1,3,3,7,0,HIGH
18,10,6,2,3,5,3,0,MEDIUM
14,8,6,0,8,5,1,0,MEDIUM
5,4,0,1,13,0,0,1,LOW
15,9,1,5,2,2,4,0,MEDIUM
14,10,2,2,6,0,4,0,LOW
6,1,5,0,3,5,0,0,HIGH
27,11,10,6,7,9,3,4,MEDIUM
6,3,0,3,1,0,3,0,HIGH
7,1,4,2,2,5,1,0,HIGH
7,4,1,2,2,1,1,1,MEDIUM
28,13,1,14,2,7,1,7,HIGH
28,14,6,8,3,11,3,0,HIGH
6,4,2,0,2,2,0,0,MEDIUM
15,1,0,14,4,5,3,6,HIGH
25,14,11,0,3,2,4,5,MEDIUM
20,4,14,2,1,14,1,1,HIGH
17,7,7,3,3,5,3,2,HIGH
10,5,4,1,4,1,1,3,HIGH
26,22,4,0,5,0,2,2,LOW
18,15,1,2,6,1,0,2,LOW
11,4,2,5,1,4,1,2,HIGH
24,5,0,19,3,8,7,4,HIGH
5,1,2,2,4,0,4,0,HIGH
22,11,11,0,8,10,1,0,MEDIUM
13,8,0,5,8,0,5,0,MEDIUM
23,18,0,5,11,3,1,1,LOW
16,5,3,8,4,11,0,0,HIGH
24,17,4,3,8,0,2,5,MEDIUM
6,4,1,1,3,1,0,1,MEDIUM
17,7,10,0,2,10,0,0,HIGH
7,5,1,1,10,2,0,0,LOW
7,3,2,2,7,2,1,1,MEDIUM
22,20,2,0,13,2,0,0,LOW
28,4,1,23,1,13,5,6,HIGH
26,19,5,2,4,3,0,4,LOW
8,0,0,8,2,2,3,3,HIGH
19,7,10,2,5,4,4,4,MEDIUM
8,5,1,2,6,3,0,0,MEDIUM
25,24,0,1,11,1,0,0,LOW
16,15,1,0,9,1,0,0,LOW
27,4,22,1,3,2,13,8,HIGH
27,15,5,7,5,8,2,2,MEDIUM
5,4,1,0,3,1,0,0,MEDIUM
17,9,5,3,2,6,1,1,MEDIUM
18,2,1,15,5,9,2,5,HIGH
23,4,9,10,2,2,1,16,HIGH
19,8,3,8,5,2,1,8,MEDIUM
8,7,0,1,6,0,1,0,LOW
12,2,6,4,3,5,2,3,HIGH
9,6,1,2,2,3,0,0,MEDIUM
29,3,11,15,4,13,5,8,HIGH
18,15,3,0,7,0,1,2,LOW
11,10,0,1,13,0,0,1,LOW
13,1,8,4,1,3,2,7,HIGH
28,9,14,5,4,5,11,3,HIGH
13,12,0,1,11,0,1,0,LOW
13,2,8,3,5,9,2,0,HIGH
17,11,2,4,10,6,0,0,LOW
17,17,0,0,14,1,0,0,LOW
18,17,0,1,6,0,0,1,LOW
20,14,0,6,6,5,0,1,MEDIUM
25,21,3,1,10,3,0,1,LOW
14,9,3,2,6,4,1,0,MEDIUM
26,20,4,2,4,6,0,0,LOW
14,10,1,3,7,2,2,0,MEDIUM
27,19,0,8,12,8,0,0,LOW
22,20,1,1,6,1,1,0,LOW
11,9,2,0,13,1,0,1,LOW
20,18,0,2,12,0,2,0,LOW
9,7,1,1,13,0,1,1,LOW
14,12,0,2,11,2,0,0,LOW
28,17,1,10,2,11,0,0,MEDIUM
9,3,0,6,4,2,1,3,HIGH
23,3,12,8,3,14,6,0,HIGH
21,10,9,2,6,6,0,5,MEDIUM
18,6,0,12,1,3,7,2,HIGH
18,14,3,1,11,0,1,3,LOW
11,10,0,1,9,1,0,0,LOW
26,14,7,5,6,6,2,4,MEDIUM
23,2,5,16,5,11,5,5,HIGH
5,2,3,0,5,1,0,2,MEDIUM
16,8,2,6,4,3,3,2,HIGH
14,11,1,2,10,1,2,0,LOW
11,5,3,3,5,2,0,4,HIGH
25,6,4,15,5,6,13,0,HIGH
12,11,1,0,5,0,0,1,LOW
30,3,20,7,3,2,7,18,HIGH
29,11,6,12,5,13,0,5,HIGH
13,6,7,0,2,1,5,1,MEDIUM
11,7,1,3,4,3,1,0,MEDIUM
30,18,4,8,8,0,10,2,MEDIUM
16,11,4,1,4,2,1,2,MEDIUM
19,12,4,3,4,0,4,3,MEDIUM
29,14,4,11,7,7,1,7,MEDIUM
19,12,0,7,2,7,0,0,MEDIUM
12,10,0,2,8,0,2,0,LOW
10,7,3,0,7,3,0,0,MEDIUM
18,7,10,1,1,8,1,2,HIGH
19,2,12,5,1,16,1,0,HIGH
12,2,10,0,3,1,7,2,HIGH
26,23,1,2,10,3,0,0,LOW
7,3,0,4,2,3,0,1,MEDIUM
9,4,0,5,2,5,0,0,HIGH
9,2,6,1,2,1,5,1,HIGH
30,7,2,21,5,8,2,13,HIGH
15,5,0,10,4,2,6,2,MEDIUM
11,7,4,0,5,0,0,4,MEDIUM
8,7,0,1,11,0,1,0,LOW
22,20,2,0,12,0,1,1,LOW
12,6,1,5,2,3,3,0,MEDIUM
16,9,7,0,2,3,4,0,MEDIUM
28,22,4,2,10,0,0,6,LOW
10,2,7,1,5,1,3,4,HIGH
28,21,7,0,4,2,0,5,LOW
12,9,0,3,9,1,2,0,LOW
12,2,2,8,3,4,1,5,HIGH
30,18,1,11,4,5,1,6,MEDIUM
12,5,2,5,3,3,3,1,MEDIUM
8,4,1,3,6,3,1,0,MEDIUM
20,13,0,7,14,2,1,4,LOW
6,4,0,2,13,0,2,0,LOW
13,3,7,3,1,1,3,6,HIGH
17,1,6,10,5,14,2,0,HIGH
24,11,9,4,2,8,1,4,MEDIUM
26,7,7,12,3,8,10,1,HIGH
19,7,4,8,4,1,10,1,MEDIUM
16,12,1,3,8,2,0,2,MEDIUM
8,5,2,1,7,1,0,2,MEDIUM
28,11,13,4,1,0,7,10,HIGH
22,12,8,2,3,7,2,1,MEDIUM
20,2,2,16,4,3,4,11,HIGH
14,12,2,0,4,2,0,0,LOW
7,7,0,0,6,1,0,0,LOW
30,10,10,10,4,11,1,8,HIGH
13,12,1,0,12,0,0,1,LOW
9,0,0,9,4,3,4,2,HIGH
12,4,7,1,2,7,0,1,HIGH
16,12,0,4,7,2,2,0,LOW
6,5,1,0,10,0,0,1,LOW
11,9,1,1,13,2,0,0,LOW
22,18,1,3,10,2,1,1,LOW
30,15,2,13,5,3,12,0,HIGH
14,10,2,2,2,3,1,0,MEDIUM
24,22,0,2,8,2,0,0,LOW
6,4,2,0,8,2,0,0,MEDIUM
9,8,1,0,8,1,0,0,LOW
24,14,10,0,6,2,2,6,MEDIUM
18,6,3,9,4,9,3,0,MEDIUM
8,4,3,1,6,4,0,0,MEDIUM
7,3,4,0,3,4,0,0,HIGH
13,5,5,3,1,6,1,1,HIGH
26,5,0,21,2,12,7,2,HIGH
7,4,2,1,3,2,1,0,MEDIUM
16,10,5,1,7,4,1,1,MEDIUM
9,7,2,0,8,2,0,0,LOW
24,4,15,5,2,4,14,2,HIGH
22,10,9,3,2,8,1,3,HIGH
20,13,0,7,12,5,0,2,LOW
28,21,0,7,4,0,4,3,MEDIUM
28,19,1,8,12,9,0,0,LOW
12,3,1,8,5,8,0,1,HIGH
30,25,2,3,14,3,1,1,LOW
16,9,5,2,7,0,6,1,MEDIUM
6,6,0,0,5,1,0,0,LOW
11,3,7,1,3,8,0,0,HIGH
17,2,15,0,5,7,3,5,HIGH
9,1,8,0,5,4,2,2,HIGH
13,10,1,2,8,0,3,0,MEDIUM
29,21,4,4,14,8,0,0,LOW
6,4,0,2,2,0,2,0,MEDIUM
27,13,5,9,8,6,2,6,MEDIUM
11,7,2,2,2,3,0,1,MEDIUM
25,22,2,1,7,0,1,2,LOW
25,13,12,0,6,11,0,1,MEDIUM
22,14,0,8,8,2,3,3,MEDIUM
14,6,5,3,3,7,0,1,MEDIUM
22,18,4,0,9,4,0,0,LOW
14,4,1,9,1,2,4,4,HIGH
20,4,10,6,4,9,7,0,HIGH
17,7,1,9,3,3,3,4,HIGH
30,7,5,18,2,20,3,0,HIGH
6,3,0,3,6,0,1,2,MEDIUM
30,7,20,3,3,22,1,0,HIGH
25,17,0,8,14,4,3,1,LOW
17,1,12,4,4,2,11,3,HIGH
16,7,2,7,5,4,4,1,HIGH
14,12,0,2,9,2,0,0,LOW
8,0,8,0,3,1,5,2,HIGH
22,8,12,2,4,1,0,13,HIGH
17,12,2,3,7,1,2,2,MEDIUM
24,23,1,0,12,0,0,1,LOW
19,9,5,5,2,9,1,0,MEDIUM
25,10,3,12,5,1,3,11,HIGH
7,5,1,1,5,0,2,0,LOW
9,5,1,3,3,1,1,2,MEDIUM
28,22,1,5,7,6,0,0,LOW
25,11,5,9,4,4,10,0,MEDIUM
16,8,7,1,4,6,1,1,HIGH
23,5,13,5,5,17,0,1,HIGH
14,7,0,7,7,2,3,2,MEDIUM
17,11,2,4,5,1,3,2,MEDIUM
9,7,2,0,4,1,0,1,LOW
12,9,0,3,11,3,0,0,LOW
17,8,7,2,3,8,1,0,MEDIUM
10,9,1,0,12,0,0,1,LOW
25,1,2,22,2,15,6,3,HIGH
21,11,9,1,5,1,2,7,MEDIUM
21,8,7,6,2,7,6,0,MEDIUM
8,2,2,4,1,4,2,0,HIGH
21,20,0,1,5,1,0,0,LOW
30,26,0,4,13,3,1,0,LOW
5,3,0,2,8,2,0,0,LOW
25,17,0,8,14,0,3,5,LOW
9,5,2,2,2,4,0,0,MEDIUM
28,14,14,0,4,3,11,0,HIGH
7,6,1,0,6,0,0,1,LOW
